[evo3_logo_L6_s1] start fitness 3269 / 4096  P3 0.30  restart after 90s without gain
[2026-09-25 02:05:21] evo3_logo_L6_s1     11s  best 3631/4096  current 3631  restarts 0  iters 332296 (31476/s)  best: cx 32 tof 22 (3-ctl 5) est_fwd 72
[2026-09-25 02:05:36] evo3_logo_L6_s1     25s  best 3719/4096  current 3719  restarts 0  iters 860655 (34355/s)  best: cx 33 tof 24 (3-ctl 7) est_fwd 78
[2026-09-25 02:05:51] evo3_logo_L6_s1     40s  best 3727/4096  current 3727  restarts 0  iters 1418234 (35509/s)  best: cx 34 tof 24 (3-ctl 4) est_fwd 72
[2026-09-25 02:06:06] evo3_logo_L6_s1     55s  best 3731/4096  current 3731  restarts 0  iters 1987171 (36250/s)  best: cx 35 tof 26 (3-ctl 6) est_fwd 72
[2026-09-25 02:06:16] evo3_logo_L6_s1     65s  best 3731/4096  current 3731  restarts 0  iters 2363038 (36432/s)  best: cx 35 tof 26 (3-ctl 6) est_fwd 72
[2026-09-25 02:06:26] evo3_logo_L6_s1     75s  best 3731/4096  current 3731  restarts 0  iters 2733759 (36479/s)  best: cx 35 tof 26 (3-ctl 6) est_fwd 72
[2026-09-25 02:06:36] evo3_logo_L6_s1     85s  best 3731/4096  current 3731  restarts 0  iters 3102834 (36501/s)  best: cx 35 tof 26 (3-ctl 6) est_fwd 72
[2026-09-25 02:06:51] evo3_logo_L6_s1    100s  best 3737/4096  current 3737  restarts 0  iters 3666321 (36765/s)  best: cx 33 tof 26 (3-ctl 6) est_fwd 78
[2026-09-25 02:07:01] evo3_logo_L6_s1    110s  best 3775/4096  current 3775  restarts 0  iters 4049679 (36882/s)  best: cx 36 tof 28 (3-ctl 5) est_fwd 72
[2026-09-25 02:07:11] evo3_logo_L6_s1    120s  best 3775/4096  current 3775  restarts 0  iters 4433681 (36976/s)  best: cx 36 tof 28 (3-ctl 5) est_fwd 72
[2026-09-25 02:07:26] evo3_logo_L6_s1    135s  best 3775/4096  current 3775  restarts 0  iters 5003089 (37129/s)  best: cx 36 tof 28 (3-ctl 5) est_fwd 72
[2026-09-25 02:07:36] evo3_logo_L6_s1    145s  best 3775/4096  current 3775  restarts 0  iters 5379113 (37133/s)  best: cx 36 tof 28 (3-ctl 5) est_fwd 72
[2026-09-25 02:07:51] evo3_logo_L6_s1    160s  best 3775/4096  current 3775  restarts 0  iters 5944547 (37169/s)  best: cx 36 tof 28 (3-ctl 5) est_fwd 72
[2026-09-25 02:08:06] evo3_logo_L6_s1    175s  best 3775/4096  current 3775  restarts 0  iters 6507122 (37235/s)  best: cx 36 tof 28 (3-ctl 5) est_fwd 72
